 CH2CHO                                                 CH3CO                                                   1.000E+13  0.000E+00  2.363E+04  1.260E+00  0.000E+00
 CH2CHO                                                 H          CH2CO                                        1.600E+13  0.000E+00  1.760E+04  1.260E+00  0.000E+00
 cC2H4O                                                 CH4        CO                                           1.200E+13  0.000E+00  2.876E+04  1.260E+00  0.000E+00
 cC2H4O                                                 CH3CHO                                                  7.300E+13  0.000E+00  2.876E+04  1.260E+00  0.000E+00
 cC2H4O                                                 CH3        HCO                                          3.600E+13  0.000E+00  2.876E+04  1.260E+00  0.000E+00
 C2H5O                                                  H2CO       CH3                                          8.000E+13  0.000E+00  1.081E+04  2.150E+00  0.000E+00
 C2H5O                                                  CH3CHO     H                                            2.000E+14  0.000E+00  1.171E+04  1.260E+00  0.000E+00
 2C2H4OH                                                H          CH3CHO                                       3.000E+13  0.000E+00  1.750E+04  1.260E+00  0.000E+00
 1C2H4OH                                                CH3CHO     H                                            3.000E+13  0.000E+00  1.911E+04  1.260E+00  0.000E+00
 2C2H4OH                                                1C2H4OH                                                 1.000E+11  0.000E+00  1.357E+04  1.260E+00  0.000E+00
 CH3OO                                                  H2CO       OH                                           1.500E+13  0.000E+00  2.363E+04  1.260E+00  0.000E+00
 C2H5OO                                                 C2H4OOH                                                 4.200E+12  0.000E+00  1.855E+04  1.260E+00  0.000E+00
 C2H4OOH                                                cC2H4O     OH                                           1.500E+11  0.000E+00  1.006E+04  1.260E+00  0.000E+00
 C2H4OOH                                                C2H4       OOH                                          2.000E+13  0.000E+00  1.182E+04  1.260E+00  0.000E+00
 C2H5OOH                                                C2H5O      OH                                           4.000E+15  0.000E+00  2.157E+04  1.260E+00  0.000E+00
 CH3COOOH                                               CH3        CO2        OH                                1.000E+16  0.000E+00  2.011E+04  1.260E+00  0.000E+00
 NO3                                                    NO         O2                                           2.500E+06  0.000E+00  6.094E+03  1.100E+00  0.000E+00
 H2CNO                                                  HNCO       H                                            2.300E+42 -9.110E+00  2.707E+04  1.100E+00  0.000E+00
 HCNO                                                   HCN        O3P                                          4.200E+31 -6.120E+00  3.077E+04  1.100E+00  0.000E+00
 HCNH                                                   HCN        H                                            6.100E+28 -5.690E+00  1.220E+04  1.100E+00  0.000E+00
 HNO2                                                   HONO                                                    1.300E+29 -5.470E+00  2.655E+04  1.100E+00  0.000E+00
 C3H7O                                                  H2CO       C2H5                                         2.000E+13  0.000E+00  7.541E+03  1.100E+00  0.000E+00
 C3H7O                                                  H          C2H5CHO                                      2.000E+13  0.000E+00  7.541E+03  1.100E+00  0.000E+00
 C4H9O                                                  H2CO       1C3H7                                        2.000E+13  0.000E+00  7.541E+03  1.100E+00  0.000E+00
 H2CN                                                   HCN        H                                            4.000E+28 -6.000E+00  1.503E+04  1.100E+00  0.000E+00
 1C4H9                                                  2C4H9                                                   1.320E+12  0.000E+00  1.648E+04  1.100E+00  0.000E+00
 NNH                                                    N2         H                                            3.000E+08  0.000E+00  0.000E+00  1.100E+00  0.000E+00
 HOCH2O                                                 HOCHO      H                                            1.000E+14  0.000E+00  7.491E+03  2.000E+00  1.000E+02
 HOCHO                                                  CO         H2O                                          2.450E+12  0.000E+00  3.040E+04  2.000E+00  1.000E+02
 HOCHO                                                  CO2        H2                                           2.950E+09  0.000E+00  2.439E+04  2.000E+00  1.000E+02
 CH3OOH                                                 CH3O       OH                                           6.000E+14  0.000E+00  2.127E+04  1.470E+00  0.000E+00
 C2H4OOH                                                CH2OH      H2CO                                         2.500E+13  0.000E+00  1.383E+04  1.260E+00  0.000E+00
